MG_UID	Sample	Station	Latitude	Longitude	Depth	Biome	Region	Province	Temperature	Nitrogen	Ammonium_5m	Nitrate	Nitrate_5m	Nitrite	Nitrite_5m	Nitrate_Nitrite	Phosphate	Silicate	Iron_5m	Oxygen	Salinity	Sigma_Theta	Chlorophyll_A	POC	PIC	Residence_Time	Conductivity	PAR_1_1	PAR_1_8	PAR_1_30	Season	Season_Stage	Distance_From_Coast	Angular_Scattering_Coefficient	Optical_Backscattering_Coefficient	Backscattering_Coefficient_of_Particles	Fluorescence	Optical_Beam_Attenuation_Coefficient	Beam_Attenuation_Coefficient_of_Particles	Sunshine_Duration	Sea_Ice_Concentration	Sea_Ice_Free_Period.	Sample_Accession_Number	Ecological_Zone
ERR599337	125_SRF	TARA_125	-8.9111	-142.5571	5	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	26.80604	NA	0.01748565	5.460123	6.146822453	0.19	0.02433348	3.7335	0.56	1.80475	2.359e-06	187.3321	35.42651	23.10143	43.5563	55.34723282	8.75e-05	0	55.562826	NA	26.554936	26.126431	winter	middle	227.3463	0.000339	0.000687	0.002338	1.645425	0.086422	0.074869	706	0	365	ERS492903	TT_EPI
ERR599340	137_DCM	TARA_137	14.2075	-116.6468	40	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	20.58574	NA	0.016200179	7.312792	3.006373823	0.31	0.02376498	6.0475	0.88	4.661	4.212e-06	123.201	34.366025	24.14088	34.1609	62.97020531	0.000252071	0	47.779965	0.645405	0.618276	0.539777	autumn	late	505.4989	0.000437	0.001374	0.003021	2.394612	0.197974	0.12174	681	0	365	ERS493684	TT_EPI
ERR599366	137_MES	TARA_137	14.2025	-116.6433	375	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	8.887131	NA	0.016200179	35.049476	3.006373823	0.01	0.02376498	34.551	2.95	46.6245	4.212e-06	0.832313	34.5882	26.820475	42.9043	67.85565948	0.000261073	0	36.818008	NA	NA	NA	autumn	late	508.0711	0.000256	7.7e-05	0.001768	3.389521	0.083167	0.006932	680	0	365	ERS493718	TT_MES
ERR599363	137_SRF	TARA_137	14.2035	-116.6261	5	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	26.478605	NA	0.016200179	3.740793	3.006373823	0.07	0.02376498	2.444	0.46	2.538	4.212e-06	195.77195	33.84798	22.01524	25.4964	64.79541397	0.00026264	0	53.022237	22.246192	21.311101	18.605363	autumn	late	453.4002	0.000386	0.001028	0.002665	1.755806	0.175867	0.099633	681	0	365	ERS493651	TT_EPI
ERR599345	138_DCM	TARA_138	6.3378	-102.9538	60	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	17.291965	NA	0.013172547	25.65001	2.891272922	0.83	0.020416232	12.904	1.11	8.073	4.689e-06	41.52515	34.664045	25.194555	20.21	NA	NA	0	44.848182	NA	NA	NA	autumn	late	820.0506	0.000303	0.000433	0.002088	2.388755	0.12968	0.048243	706	0	365	ERS493803	TT_EPI
ERR599365	138_MES	TARA_138	6.3559	-103.0598	450	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	8.149894	NA	0.013172547	36.753654	2.891272922	0.01	0.020416232	36.219	3.16	52.9225	4.689e-06	1.013313	34.608919	26.951444	16.7658	NA	NA	0	36.188791	NA	NA	NA	autumn	late	814.9045	0.000257	7.7e-05	0.001773	3.439414	0.09279	0.011353	705	0	365	ERS493835	TT_MES
ERR599355	138_SRF	TARA_138	6.3332	-102.9432	5	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	26.605515	NA	0.013172547	0.803918	2.891272922	0	0.020416232	0.002	0.16	1.1855	4.689e-06	196.2029	33.52041	21.72899	26.1396	NA	NA	0	52.694447	NA	NA	NA	autumn	late	10.2085	0.00032	0.000574	0.002208	1.444322	0.123068	0.04169	706	0	365	ERS493767	TT_EPI
ERR2762100	155_DCM	TARA_155	54.5451	-16.7943	40	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NADR] North Atlantic Drift Province (MRGID:21453)	10.79018	2.2	0.007189205	7.129639	0.689068984	0.071	0.010129768	10.158	0.566253	3.554362	0.000426156	266.473125	35.335155	27.07531	61.7749	55.81192589	0.000184706	0	39.191933	1.181247	1.01065	0.808654	spring	late	416.0348	0.00032	0.000525	0.002213	1.814179	0.140078	0.08509	996	0	365	ERS1307964	ARC
ERR2762102	155_MES	TARA_155	54.5742	-16.8345	751	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NADR] North Atlantic Drift Province (MRGID:21453)	8.923581	2.21	0.007189205	13.716288	0.689068984	NA	0.010129768	NA	NA	NA	0.000426156	208.76175	35.40565	27.460706	NA	56.42062759	0.000215902	0	37.803187	NA	NA	NA	spring	late	428.3281	0.00026	1e-04	0.001799	1.960961	0.05606	0.002342	994	0	365	ERS1307938	ARC
ERR2762104	155_SRF	TARA_155	54.5305	-16.9377	5	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NADR] North Atlantic Drift Province (MRGID:21453)	11.09547	2.2	0.007189205	4.467439	0.689068984	0.237125	0.010129768	8.035625	0.401861	0.967928	0.000426156	271.064125	35.32522	27.01156	74.1214	51.89796257	0.000185435	0	39.460696	14.83323	22.163234	18.800471	spring	early	147.2155	0.000414	0.001175	0.002862	1.773811	0.155799	0.115711	993	0	365	ERS1307890	Outlier
