MG_UID	Sample	Station	Latitude	Longitude	Depth	Biome	Region	Province	Temperature	Nitrogen	Ammonium_5m	Nitrate	Nitrate_5m	Nitrite	Nitrite_5m	Nitrate_Nitrite	Phosphate	Silicate	Iron_5m	Oxygen	Salinity	Sigma_Theta	Chlorophyll_A	POC	PIC	Residence_Time	Conductivity	PAR_1_1	PAR_1_8	PAR_1_30	Season	Season_Stage	Distance_From_Coast	Angular_Scattering_Coefficient	Optical_Backscattering_Coefficient	Backscattering_Coefficient_of_Particles	Fluorescence	Optical_Beam_Attenuation_Coefficient	Beam_Attenuation_Coefficient_of_Particles	Sunshine_Duration	Sea_Ice_Concentration	Sea_Ice_Free_Period.	Sample_Accession_Number	Ecological_Zone
ERR599339	62_SRF	TARA_062	-22.3368	40.3412	5	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	NA	NA	0.012337432	NA	0.033863571	NA	0.017541743	NA	NA	NA	0.000909214	NA	NA	NA	20.3338	53.02372742	0.000111145	8.944444	NA	NA	NA	NA	winter	early	10.6591	NA	NA	NA	NA	NA	NA	648	0	365	ERS489904	TT_EPI
ERR594385	64_DCM	TARA_064	-29.5333	37.9117	65	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	22.215305	NA	0.010198253	0	0.074760764	0	0.030657471	NA	0.08	1.7355	0.00080341	207.9566	35.346195	24.424005	22.7117	64.79034424	0.000150197	0	50.653725	0.019126	0.018025	0.019324	winter	early	546.589	4e-04	0.001112	0.002766	1.06475	0.022442	0.057374	620	0	365	ERS490026	TT_EPI
ERR599351	64_MES	TARA_064	-29.5046	37.9599	1000	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	7.552017	NA	0.010198253	NA	0.074760764	0	0.030657471	NA	1.12	NA	0.00080341	190.888667	34.572658	27.0189	24.8736	64.70048141	0.000163628	0	35.845337	NA	NA	NA	winter	early	547.7305	0.000257	7.6e-05	0.001775	1.5975	NA	NA	620	0	365	ERS489996	TT_MES
ERR594392	64_SRF	TARA_064	-29.5019	37.9889	5	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	22.2414	NA	0.010198253	0	0.074760764	0	0.030657471	0	0.08	1.7665	0.00080341	210.2395	35.32467	24.39702	21.9223	68.16622162	0.000153173	0	50.627338	13.575859	12.427008	13.273712	winter	early	550.5186	0.000418	0.001237	0.00289	1.057375	0.039262	0.074194	620	0	365	ERS489943	TT_EPI
ERR594414	65_DCM	TARA_065	-35.2421	26.3048	30	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	21.72823	NA	0.009926958	NA	0.482149295	NA	0.065700063	NA	NA	NA	0.000760815	207.48285	35.451512	24.64465	14.9089	80.35794067	0.000164711	0	50.243733	0.043008	0.374568	0.433796	winter	early	91.3689	0.000427	0.001296	0.002951	1.20625	0.045474	0.076206	597	0	365	ERS490120,ERS490121	TT_EPI
ERR594361	65_SRF	TARA_065	-35.1728	26.2868	5	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	21.76357	NA	0.009926958	NA	0.482149295	NA	0.065700063	NA	NA	NA	0.000760815	207.5812	35.449638	24.629613	19.1614	80.48958588	0.000166576	0	50.276728	0.86456	7.529698	8.72032	winter	early	85.2841	0.000412	0.001194	0.002849	1.197	0.048988	0.07972	597	0	365	ERS490053,ERS490054	TT_EPI
ERR594389	66_DCM	TARA_066	-34.8901	18.0459	30	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	15.014	NA	0.019386057	2.739389	1.545722415	0.26	0.1846933	3.309875	0.37	2.5895	0.000311999	239.791063	35.32305	26.21755	23.3045	99.62840652	0.000233923	0	43.305703	0.350859	0.328858	0.319704	winter	early	70.2779	0.000419	0.001227	0.002897	1.2525	0.098145	0.130564	602	0	365	ERS490180	TT_EPI
ERR594362	66_SRF	TARA_066	-34.9449	17.9189	5	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	15.013362	NA	0.019386057	2.426286	1.545722415	0.3	0.1846933	3.34	0.34	2.7435	0.000311999	239.93725	35.3233	26.2141	32.4091	108.1238098	0.000263462	0	43.307084	9.435831	8.568735	8.313706	winter	early	79.9944	0.000419	0.001227	0.002897	1.258125	0.09772	0.130139	601	0	365	ERS490142	TT_EPI
ERR594395	67_SRF	TARA_067	-32.2401	17.7103	5	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	13.04322	NA	0.043375768	1.264607	0.098994337	0.171	0.060270548	NA	1.016	NA	0.000415882	252.63145	34.870735	26.28407	27.5271	673.5032654	NA	1.111111	40.873929	0.068852	0.067876	0.066752	winter	late	81.2122	0.001177	0.00646	0.008134	4.093218	1.25192	1.197978	697	0	365	ERS490204,ERS490205	TT_EPI
ERR594415	68_DCM	TARA_068	-31.027	4.6802	50	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	16.74878	NA	0.015807986	0.904785	0.129485512	0.285	0.06059745	1.08	0.227	2.436	0.00036828	231.9774	35.68407	26.101325	53.8288	69.40000153	0.000394	6.388889	45.448374	0.383273	0.351054	0.335478	winter	late	1113.2454	0.000385	0.000991	0.002659	2.011787	0.165229	0.105138	711	0	365	ERS490320	TT_EPI
ERR599382	68_MES	TARA_068	-31.0198	4.6685	700	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	7.32145	NA	0.015807986	24.232124	0.129485512	0.003	0.06059745	22.08	1.529	12.08	0.00036828	194.4342	34.50494	26.992205	56.2691	55.70494843	9.54e-05	6.388889	35.44101	NA	NA	NA	winter	late	1122.2759	0.000262	0.000109	0.001808	2.777603	0.060755	0.001008	710	0	365	ERS490245	TT_MES
ERR594391	68_SRF	TARA_068	-31.0266	4.665	5	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	16.8632	NA	0.015807986	1.103865	0.129485512	0.25	0.06059745	0.939	0.229	1.9865	0.00036828	234.4763	35.686585	26.07437	53.8288	69.40000153	0.000394	6.388889	45.547328	24.301431	22.258573	21.270967	winter	late	1113.2454	0.000403	0.001114	0.002782	1.951133	0.21692	0.156829	711	0	365	ERS490285	TT_EPI
ERR594407	70_MES	TARA_070	-20.4075	-3.1641	800	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	4.188237	NA	0.015283077	36.675625	0.029039364	0.01	0.031308781	36.73	2.522	44.86	0.000787816	161.92525	34.446963	27.333325	52.3938	59.29802513	0.000233392	0	32.615103	NA	NA	NA	winter	late	558.1525	0.000261	8e-05	0.0018	3.251941	0.054038	0.000399	725	0	365	ERS490388	TT_MES
ERR594353	70_SRF	TARA_070	-20.4091	-3.1759	5	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	19.77001	NA	0.015283077	1.763081	0.029039364	0.054	0.031308781	0.8015	0.364	1.1485	0.000787816	215.2007	36.35839	25.859525	30.7687	59.29802513	0.000233392	0	49.332061	22.209965	24.120134	24.32309	winter	late	1161.2626	0.000333	0.000634	0.002301	2.071928	0.117833	0.064322	725	0	365	ERS490346	TT_EPI
ERR594379	72_DCM	TARA_072	-8.7296	-17.9604	100	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	23.630095	NA	0.011292624	1.049606	0.036490005	0.011	0.018234891	0.044	0.143	1.284	0.001262169	190.5966	36.588225	24.96531	19.3094	29.35335064	NA	0	53.771013	0.032923	0.032105	0.032621	spring	early	395.5741	0.000383	0.000981	0.002644	2.171779	0.114563	0.063549	733	0	365	ERS490494	TT_EPI
ERR594388	72_MES	TARA_072	-8.7986	-17.9034	800	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	4.641719	NA	0.011292624	37.560305	0.036490005	0.007	0.018234891	36.98	2.618	34.44	0.001262169	143.273625	34.476312	27.30785	21.9764	32.02692795	NA	0	33.042924	NA	NA	NA	spring	early	396.7311	0.000262	9e-05	0.001807	3.226745	0.052401	0.001023	733	0	365	ERS490522	Outlier
ERR594364	72_SRF	TARA_072	-8.7789	-17.9099	5	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	25.064425	NA	0.011292624	0.416799	0.036490005	0.003	0.018234891	0.018	0.104	0.868	0.001262169	199.135	36.41678	24.393095	24.6699	32.02692795	NA	0	55.046547	28.638751	31.419789	33.600196	spring	early	396.0494	0.000324	0.000577	0.002237	1.77348	0.094476	0.043816	733	0	365	ERS490452	TT_EPI
ERR594355	76_DCM	TARA_076	-21.0292	-35.3498	150	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	21.16596	NA	0.011959192	0.218613	0.013453111	0.015	0.013930039	0	0.038	0.712116	0.000776878	200.32465	36.61951	25.68731	14.9669	24.42359638	7.09e-05	0	51.19025	0.045726	0.057104	0.053976	spring	early	30.3292	0.000296	0.000377	0.002043	1.931379	0.08178	0.028802	755	0	365	ERS490610	TT_EPI
ERR599370	76_MES	TARA_076	-20.9315	-35.1794	800	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	4.664275	NA	0.011959192	33.940795	0.013453111	0.001	0.013930039	NA	0.937	NA	0.000776878	191.413187	34.369569	27.220344	14.2624	24.61178017	9.31e-05	0	32.971177	NA	NA	NA	spring	early	36.257	0.000273	0.000167	0.001883	2.821232	0.052299	0.001106	756	0	365	ERS490648	TT_MES
ERR594354	76_SRF	TARA_076	-20.9354	-35.1803	5	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	23.374825	NA	0.011959192	0.185971	0.013453111	0.001	0.013930039	0	0.056	0.814172	0.000776878	206.23185	37.076575	25.40018	15.618	24.61178017	9.31e-05	0	54.081949	31.396196	38.551485	37.592301	spring	early	332.8446	0.000334	0.000639	0.002307	1.636802	0.103946	0.050968	755	0	365	ERS490557	TT_EPI
ERR599374	78_DCM	TARA_078	-30.1484	-43.2705	120	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	19.32335	NA	0.017718557	0.085111	0.001974124	0.053	0.012364627	0.104	0	0.319	0.000862562	216.6547	36.27746	25.920365	19.6634	38.96880722	0.000203361	5.777778	48.818052	0.038677	0.036721	0.032174	spring	middle	564.404	0.000346	0.000723	0.00239	1.943116	0.099535	0.051207	802	0	365	ERS490704	TT_EPI
ERR599361	78_MES	TARA_078	-30.1471	-43.2915	800	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	5.823213	NA	0.017718557	28.704078	0.001974124	0	0.012364627	NA	1.946	NA	0.000862562	215.95475	34.355	27.076125	20.5432	38.62805176	0.000196519	5.777778	33.993515	NA	NA	NA	spring	middle	564.921	0.00026	8.7e-05	0.001794	2.597631	0.048309	0.001131	804	0	365	ERS490727	TT_MES
ERR594411	78_SRF	TARA_078	-30.1367	-43.2899	5	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	20.07775	NA	0.017718557	0.025333	0.001974124	0	0.012364627	0.026	0	0.749	0.000862562	221.13845	36.32553	25.754115	20.9027	39.00395393	0.000204804	5.777778	49.618166	41.250614	39.164551	34.314665	spring	middle	554.4294	0.000324	0.000574	0.00224	1.674628	0.09877	0.050442	802	0	365	ERS490676	TT_EPI
ERR594409	82_DCM	TARA_082	-47.2007	-57.9446	40	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[FKLD] Southwest Atlantic Shelves Province (MRGID:21469)	7.154875	NA	0.125833504	18.047311	6.387227853	0.135	0.274188709	18.525	1.416	2.661	0.000290781	306.1555	34.05055	26.649733	58.0487	107.0161819	0.001290148	0	34.580048	NA	0.330143	0.354379	spring	late	455.529	0.000938	0.004784	0.00648	2.133364	0.349895	0.304699	945	0	365	ERS490953	ANT
ERR599384	82_SRF	TARA_082	-47.1863	-58.2902	5	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[FKLD] Southwest Atlantic Shelves Province (MRGID:21469)	7.579417	NA	0.125833504	18.434187	6.387227853	0.151	0.274188709	18.005	1.301	1.945	0.000290781	303.147667	34.05025	26.589567	29.5811	130.0122757	0.0014031	0	34.948123	NA	23.872945	26.733842	spring	late	835.6982	0.001001	0.005228	0.006921	2.128396	0.331011	0.285815	945	0	365	ERS490900	ANT
ERR599352	84_SRF	TARA_084	-60.2287	-60.6476	5	Polar Biome	[SO] Southern Ocean (MRGID:1907)	[ANTA] Antarctic Province (MRGID:21502)	1.9034	NA	0.096893812	24.903191	19.89227422	0.266	0.217055053	25.3	1.723	16.55	8.826e-06	338.526	33.7198	26.9578	36.464	52.04622459	0.000287959	1.972222	29.627082	28.65183	30.369136	26.887788	spring	late	15.0017	0.000438	0.001295	0.003026	2.105012	0.191114	0.150365	1122	0	365	ERS491016	ANT
ERR594377	85_DCM	TARA_085	-62.2231	-49.2139	90	Polar Biome	[SO] Southern Ocean (MRGID:1907)	[ANTA] Antarctic Province (MRGID:21502)	-0.792395	NA	0.007686064	32.911358	26.6249059	0.06	0.042774215	31	2.309	81.82	0.000451463	326.6803	34.36258	27.6286	49.5816	49.74488068	7.05e-05	19.777778	27.929187	0.022572	0.028649	0.025751	summer	early	242.3684	0.000387	0.00091	0.00267	2.471241	0.139211	0.101069	1162	0	365	ERS491107	ANT
ERR599373	85_MES	TARA_085	-61.9689	-49.5017	790	Polar Biome	[SO] Southern Ocean (MRGID:1907)	[ANTA] Antarctic Province (MRGID:21502)	0.456763	NA	0.007686064	38.920763	26.6249059	0.018	0.042774215	36.37	2.614	83.35	0.000451463	203.7715	34.6802	27.8267	60.7019	53.46252441	0.000178454	19.777778	29.517575	NA	NA	NA	summer	early	245.2218	0.000254	0	0.001752	3.420786	0.036012	0	1152	0	365	ERS491123	Outlier
ERR599364	85_SRF	TARA_085	-62.0385	-49.529	5	Polar Biome	[SO] Southern Ocean (MRGID:1907)	[ANTA] Antarctic Province (MRGID:21502)	0.73159	NA	0.007686064	29.73383	26.6249059	0.107	0.042774215	28.64	2.111	80.55	0.000451463	344.81235	34.327465	27.52175	45.3945	46.93349075	0.000149059	19.777778	29.154612	10.772055	19.895946	18.179195	summer	early	200.5774	0.000419	0.00115	0.002896	2.220386	0.232572	0.194431	1157	0	365	ERS491063	ANT
