OTU_ID	Domain	Phylum	Class	Order	Family	Genus	Species
GU108554.1.1400	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	uncultured gamma proteobacterium
GU108559.1.1403	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	uncultured Colwelliaceae bacterium
GU108561.1.1375	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	uncultured Alteromonadaceae bacterium
GU108564.1.1371	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SUP05 cluster	uncultured gamma proteobacterium	NA
GU108566.1.1397	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Sedimenticola	uncultured gamma proteobacterium
GU108568.1.1377	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	J8P41000-1F04	uncultured gamma proteobacterium	NA
GU108570.1.1394	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SUP05 cluster	uncultured gamma proteobacterium	NA
GU108571.1.1380	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rheinheimera	uncultured gamma proteobacterium
GU108572.1.1374	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	uncultured gamma proteobacterium
GU117926.1.1383	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tateyamaria	uncultured bacterium
GU117977.1.1410	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured bacterium
GU118038.1.1439	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996 marine group	uncultured bacterium	NA
GU118056.1.1459	Bacteria	Proteobacteria	Gammaproteobacteria	Sva0071	uncultured bacterium	NA	NA
GU118067.1.1450	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	uncultured	uncultured bacterium
GU118118.1.1435	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces	uncultured bacterium
GU118124.1.1483	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	H16	uncultured bacterium
GU118149.1.1402	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassobaculum	uncultured bacterium
GU118173.1.1423	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	uncultured bacterium	NA
GU118177.1.1490	Bacteria	Verrucomicrobia	R76-B128	uncultured bacterium	NA	NA	NA
GU118182.1.1425	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured bacterium
GU118194.1.1436	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	uncultured bacterium
GU118196.1.1466	Bacteria	Proteobacteria	AEGEAN-245	uncultured bacterium	NA	NA	NA
GU118206.1.1386	Bacteria	Proteobacteria	Alphaproteobacteria	Parvularculales	Parvularculaceae	uncultured bacterium	NA
GU118208.1.1422	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pir4 lineage	uncultured bacterium
GU118216.1.1447	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	uncultured	uncultured bacterium
GU118227.1.1449	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	uncultured bacterium	NA
GU118264.1.1447	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Candidatus Amoebophilus	uncultured bacterium
GU118276.1.1458	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula	uncultured bacterium
GU118279.1.1445	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Trueperaceae	Truepera	uncultured bacterium
GU118282.1.1381	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Actibacterium	uncultured bacterium
GU118307.1.1411	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	uncultured	uncultured bacterium
GU118309.1.1459	Bacteria	Proteobacteria	Gammaproteobacteria	uncultured	uncultured bacterium	NA	NA
GU118319.1.1463	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Gven-D09	uncultured bacterium	NA
GU118366.1.1426	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	uncultured bacterium	NA
GU118382.1.1463	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	uncultured	uncultured bacterium
GU118397.1.1461	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	uncultured bacterium
GU118448.1.1456	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	BD2-7	uncultured bacterium	NA
GU118457.1.1437	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured bacterium
GU118469.1.1448	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	uncultured	uncultured bacterium
GU118479.1.1462	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Hahellaceae	Endozoicomonas	uncultured bacterium
GU118487.1.1457	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7 clade	uncultured bacterium
GU118492.1.1431	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pir4 lineage	uncultured bacterium
GU118534.1.1436	Bacteria	Chloroflexi	SAR202 clade	uncultured bacterium	NA	NA	NA
GU118545.1.1433	Bacteria	Chloroflexi	SAR202 clade	uncultured bacterium	NA	NA	NA
GU118564.1.1476	Bacteria	PAUC34f	uncultured bacterium	NA	NA	NA	NA
GU118590.1.1432	Bacteria	Chloroflexi	SAR202 clade	uncultured bacterium	NA	NA	NA
GU118594.1.1486	Bacteria	Acidobacteria	Subgroup 6	uncultured bacterium	NA	NA	NA
GU118610.1.1420	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured bacterium
GU118611.1.1445	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Candidatus Amoebophilus	uncultured bacterium
GU118616.1.1408	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	MD3-55	uncultured bacterium	NA
GU118711.1.1420	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Pelagibius	uncultured bacterium
GU118738.1.1451	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pirellula	uncultured bacterium
GU118801.1.1444	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	uncultured bacterium	NA
GU118818.1.1466	Bacteria	Acidobacteria	Subgroup 9	uncultured bacterium	NA	NA	NA
GU118830.1.1444	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Crocinitomix	uncultured bacterium
GU118843.1.1415	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus	uncultured bacterium
GU118848.1.1459	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula	uncultured bacterium
GU118850.1.1397	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Bythopirellula	uncultured bacterium
GU118853.1.1417	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured bacterium
GU118868.1.1415	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured bacterium
