Sample_UID	Shannon_Diversity_Index	Temperature	Oxygen	Depth.nominal	ChlorophyllA	Salinity	Ammonium.5m	Iron.5m
TARA_B100001245	6.62657864319006	6.634392	131.979417	550	0	33.991383	0.022323497881492	0.000814380095107481
TARA_B100001248	5.85125454350793	25.164595	197.7245	5	0.101563	35.19025	0.022323497881492	0.000814380095107481
TARA_B100001250	5.90989134862583	15.321075	222.94125	115	0.158691	34.39568	0.022323497881492	0.000814380095107481
TARA_B100001287	5.79365517757898	26.478605	195.77195	5	0.251665	33.84798	0.0162001790789266	4.21e-06
TARA_B100001540	6.03271351440225	19.312775	213.9635	5	0.126112	36.513137	0.00564043200574815	0.00110593110245342
TARA_B100001559	6.37001160912766	16.74703	228.11655	80	0.16463	36.182395	0.0210448717698455	0.00129950981742392
TARA_B100001564	6.0263776555047	17.303005	232.28725	5	0.111686	36.229605	0.0210448717698455	0.00129950981742392
TARA_B100001741	6.17653930296166	20.481195	213.6889	5	0.120903	36.596745	0.00639683147892356	0.00104127096710727
TARA_B100001750	6.22051657727928	18.129194	192.246187	250	0	36.565812	0.00940477817008893	0.000970727754368757
TARA_B100001758	6.11984957742284	18.82554	220.9492	5	0.156401	36.41274	0.011274376573662	0.00098384377391388
TARA_B100001765	6.48095685438685	10.496305	152.7195	740	0.00482	35.369805	0.011274376573662	0.00098384377391388
TARA_B100001769	6.13361293351963	17.627142	229.368083	5	0.191003	36.285292	0.0134359668008983	0.00110077684318336
TARA_B100001778	6.19502360338829	17.585567	229.097917	40	0.21402	36.285033	0.0134359668008983	0.00110077684318336
TARA_B100001939	6.21167336910863	27.1673	195.502875	5	0.094165	34.80515	0.00802205262395243	0.00137891847407445
TARA_B100001964	5.50158114543063	20.58574	123.201	40	0.366719	34.366025	0.0162001790789266	4.21e-06
TARA_B100001971	5.9117835382434	8.887131	0.832313	375	0	34.5882	0.0162001790789266	4.21e-06
TARA_B100001989	6.18408420526858	26.605515	196.2029	5	0.125361	33.52041	0.0131725465568403	4.69e-06
TARA_B100001996	5.85080179528363	17.291965	41.52515	60	0.219944	34.664045	0.0131725465568403	4.69e-06
TARA_B100002003	5.92661760029913	8.149894	1.013313	450	0	34.608919	0.0131725465568403	4.69e-06
TARA_B100002019	6.16591716710038	26.555663	205.411	5	0.182274	28.922675	0.0178455666949352	3.48e-05
TARA_B100002049	6.26665832621424	9.735075	108.231313	640	0	35.165212	0.00934025567645828	0.00116824960180869
TARA_B100002051	6.04538238487182	24.98456	195.54125	5	0.123459	36.177285	0.00934025567645828	0.00116824960180869
TARA_B100002052	6.1047762970641	24.961605	193.38225	125	0.114913	36.17927	0.00934025567645828	0.00116824960180869
TARA_B110000003	5.2788262632436	11.09547	271.064125	5	0.772148	35.32522	0.00718920450890437	0.000426155762397684
TARA_B110000008	5.7250859950867	10.79018	266.473125	40	0.789471	35.335155	0.00718920450890437	0.000426155762397684
TARA_B110000014	6.52726592802872	8.923581	208.76175	751	0	35.40565	0.00718920450890437	0.000426155762397684
TARA_B110000027	3.85099547489772	7.48766	299.0073	5	0.825342	34.92331	0.00697931119551261	0.000430005408513049
TARA_B110000037	4.98411909863844	3.1072	303.31905	NA	0.321278	34.978285	0.00697931119551261	0.000430005408513049
TARA_B110000046	4.36454965175354	3.824545	326.3609	40	1.1063	34.975345	0.00697931119551261	0.000430005408513049
TARA_B110000090	4.53982155062739	-0.160312	385.28075	5	0.417069	33.613775	0.00408161628486899	0.00121553147134061
TARA_B110000091	5.06715134507905	-1.29785	348.000625	35	2.003142	34.4561	0.00408161628486899	0.00121553147134061
TARA_B110000093	4.85173548622026	1.025705	314.71675	NA	0.514823	34.691775	0.00058937332869391	0.0010933797651281
TARA_B110000114	3.91546108122825	1.365705	369.289812	5	1.019477	34.264755	0.00058937332869391	0.0010933797651281
TARA_B110000116	6.27442926790443	1.47689	296.228	199	0.008083	34.8814	0.00058937332869391	0.0010933797651281
TARA_B110000196	5.963717312479	0.099535	315.37205	499	0	34.94578	0.0145570523648833	0.000874156539794058
TARA_B110000208	3.60547519968067	1.325833	348.196667	5	0.119264	34.142392	0.0034283140169767	0.00132850349958365
